domain,ttl,ip_count,ns_count,label
sbkd.iiimlfex.cn,180.0,13,4,1
ssrb.iiimlfex.cn,180.0,13,4,1
chnx.iiimlfex.cn,180.0,13,4,1
ciqo.iiimlfex.cn,180.0,13,4,1
robx.iiimlfex.cn,180.0,13,4,1
rgil.iiimlfex.cn,180.0,13,4,1
kuzm.iiimlfex.cn,180.0,13,4,1
knui.iiimlfex.cn,180.0,13,4,1
kazp.iiimlfex.cn,180.0,13,4,1
kiem.iiimlfex.cn,180.0,13,4,1
rfn.iiimlfex.cn,160.0,13,4,1
rlu.iiimlfex.cn,180.0,13,4,1
svbp.iiimlfex.cn,180.0,13,4,1
sag.iiimlfex.cn,180.0,13,4,1
rzt.fhkxmxif.cn,180.0,13,4,1
rbr.fhkxmxif.cn,179.0,13,4,1
kcz.fhkxmxif.cn,180.0,13,4,1
rpk.fhkxmxif.cn,180.0,13,4,1
gyi.hcceehwi.cn,180.0,12,4,1
ghb.hcceehwi.cn,180.0,13,4,1
rid.hcceehwi.cn,180.0,12,4,1
rfg.hcceehwi.cn,180.0,13,4,1
rcjg.hcceehwi.cn,180.0,13,4,1
rczz.hcceehwi.cn,180.0,13,4,1
ruuu.hcceehwi.cn,180.0,13,4,1
rkix.hcceehwi.cn,180.0,13,4,1
sse.hcceehwi.cn,180.0,13,4,1
soa.hcceehwi.cn,180.0,13,4,1
gym.hcceehwi.cn,180.0,13,4,1
guw.hcceehwi.cn,180.0,13,4,1
gumw.hcceehwi.cn,180.0,13,4,1
gvtu.hcceehwi.cn,180.0,13,4,1
gnhh.hcceehwi.cn,180.0,13,4,1
geyj.hcceehwi.cn,180.0,13,4,1
gaw.hcceehwi.cn,168.0,13,4,1
ghq.hcceehwi.cn,180.0,13,4,1
kes.hcceehwi.cn,157.0,13,4,1
kvhs.hcceehwi.cn,162.0,13,4,1
socw.hcceehwi.cn,180.0,13,4,1
swmt.hcceehwi.cn,180.0,13,4,1
rbo.hcceehwi.cn,180.0,13,4,1
rqr.hcceehwi.cn,180.0,13,4,1
tyng.hcceehwi.cn,180.0,13,4,1
tuq.hcceehwi.cn,180.0,13,4,1
rxt.hcceehwi.cn,180.0,13,4,1
riy.hcceehwi.cn,180.0,13,4,1
kkul.hcceehwi.cn,129.0,13,4,1
kjsu.hcceehwi.cn,174.0,13,4,1
snc.hcceehwi.cn,173.0,13,4,1
snii.hcceehwi.cn,180.0,13,4,1
rtxp.hcceehwi.cn,180.0,13,4,1
raur.hcceehwi.cn,180.0,13,4,1
rwi.dfxexihh.cn,180.0,13,4,1
rcth.dfxexihh.cn,180.0,13,4,1
sfr.dfxexihh.cn,180.0,13,4,1
ssh.dfxexihh.cn,180.0,12,4,1
kyba.dfxexihh.cn,180.0,13,4,1
rwv.dfxexihh.cn,180.0,13,4,1
rfk.dfxexihh.cn,180.0,13,4,1
rkcd.dfxexihh.cn,180.0,13,4,1
rfzj.dfxexihh.cn,180.0,13,4,1
shl.idfixhim.cn,180.0,12,4,1
syia.idfixhim.cn,180.0,13,4,1
spz.idfixhim.cn,180.0,13,4,1
sjy.idfixhim.cn,180.0,13,4,1
